word,main,jyc,fyc,explanation
一手,1,把手,放手,指一只手的动作或技巧
把手,2,把手,,握住某物，同“一手”
放手,3,,放手,松开手，与“一手”相反
二目,1,双眼,盲目,两只眼睛一起看
双眼,2,双眼,,同义于“二目”，指两只眼睛
盲目,3,,盲目,看不见，与“二目”相反
三口,1,家庭,独居,一家人的成员数，通常指小家庭
家庭,2,家庭,,同义于“三口”，指家庭成员
独居,3,,独居,单独生活，与“三口”相反
上耳,1,聆听,忽略,注意听，提高警觉性
聆听,2,聆听,,认真地听，同“上耳”
忽略,3,,忽略,不注意，与“上耳”相反
日出,1,晨曦,日落,太阳升起的现象
晨曦,2,晨曦,,清晨的日光，同“日出”
日落,3,,日落,太阳下山的现象，与“日出”相反
田地,1,农田,荒地,种植农作物的土地
农田,2,农田,,用于耕种的田地，同“田地”
荒地,3,,荒地,未开垦的土地，与“田地”相反
禾苗,1,幼苗,枯草,刚发芽的稻或其他谷物
幼苗,2,幼苗,,初生的植物，同“禾苗”
枯草,3,,枯草,干枯的草，与“禾苗”相反
火焰,1,炎火,冰雪,燃烧产生的光和热
炎火,2,炎火,,强烈的火焰，同“火焰”
冰雪,3,,冰雪,冷冻形成的固体水，与“火焰”相反
虫鸣,1,蟋蟀,静默,昆虫发出的声音
蟋蟀,2,蟋蟀,,发出声音的一种昆虫，同“虫鸣”
静默,3,,静默,安静无声，与“虫鸣”相反
云彩,1,彩云,晴空,天空中变化多彩的云
彩云,2,彩云,,有颜色的云，同“云彩”
晴空,3,,晴空,没有云的天空，与“云彩”相反
山峰,1,峰顶,平原,山的最高点
峰顶,2,峰顶,,山的顶端，同“山峰”
平原,3,,平原,平坦开阔的地方，与“山峰”相反
八方,1,四面,中心,各个方向
四面,2,四面,,四周的方向，同“八方”
中心,3,,中心,中间的位置，与“八方”相反
十全,1,完美,缺点,十分完美，没有任何缺陷
完美,2,完美,,没有瑕疵的状态，同“十全”
缺点,3,,缺点,存在不足之处，与“十全”相反
子夜,1,午夜,黎明,半夜时分
午夜,2,午夜,,深夜十二点，同“子夜”
黎明,3,,黎明,天快亮的时候，与“子夜”相反
人间,1,世上,天上,人类生活的世界
世上,2,世上,,世界上，同“人间”
天上,3,,天上,与人间相对的世界，与“人间”相反
大会,1,会议,分散,大型集会或会议
会议,2,会议,,讨论事务的集会，同“大会”
分散,3,,分散,分开，与“大会”相反
月亮,1,月光,日光,夜晚发光的天体
月光,2,月光,,月亮的光辉，同“月亮”
日光,3,,日光,白天太阳的光，与“月亮”相反
儿歌,1,童谣,成歌,给儿童唱的歌曲
童谣,2,童谣,,儿童的歌谣，同“儿歌”
成歌,3,,成歌,成年人的歌曲，与“儿歌”相反
头脑,1,思维,迷糊,人的智慧和思考能力
思维,2,思维,,思考的过程，同“头脑”
迷糊,3,,迷糊,思维混乱不清，与“头脑”相反
里面,1,内部,外面,物体内部的空间
内部,2,内部,,内侧的部分，同“里面”
外面,3,,外面,对外的一侧，与“里面”相反
可是,1,然而,就是,表示转折关系的连词
然而,2,然而,,同“可是”，表示转折
就是,3,,就是,表示肯定，与“可是”相反
东西,1,物品,无物,泛指物品或物件
物品,2,物品,,任何具体的事物，同“东西”
无物,3,,无物,没有东西，与“东西”相反
天空,1,青天,地面,大气层中的空间
青天,2,青天,,蔚蓝的天空，同“天空”
地面,3,,地面,地球表面，与“天空”相反
四方,1,八方,中心,四个方向
八方,2,八方,,更多的方向，同“四方”
中心,3,,中心,中间位置，与“四方”相反
是非,1,对错,无误,正确与否的问题
对错,2,对错,,正确和错误的区别，同“是非”
无误,3,,无误,没有错误，与“是非”相反
女儿,1,女孩,男孩,年轻女性
女孩,2,女孩,,年幼的女性，同“女儿”
男孩,3,,男孩,年幼的男性，与“女儿”相反
开始,1,起始,结束,行动或事件的开端
起始,2,起始,,开始的地方或时间，同“开始”
结束,3,,结束,终止，与“开始”相反
水流,1,河流,干旱,水的流动
河流,2,河流,,流动的水体，同“水流”
干旱,3,,干旱,缺乏水分的状态，与“水流”相反
去往,1,前往,返回,移动到某处
前往,2,前往,,向目的地移动，同“去往”
返回,3,,返回,回到原点，与“去往”相反
来往,1,往返,不动,彼此之间的移动
往返,2,往返,,来回移动，同“来往”
不动,3,,不动,静止不动，与“来往”相反
不是,1,非也,就是,表示否定
非也,2,非也,,否定的表达，同“不是”
就是,3,,就是,表示肯定，与“不是”相反
小心,1,谨慎,大意,注意，留神
谨慎,2,谨慎,,小心翼翼，同“小心”
大意,3,,大意,粗心，与“小心”相反
少年,1,青年,老人,年轻的男性
青年,2,青年,,年轻时期的人，同“少年”
老人,3,,老人,年长的人，与“少年”相反
牛奶,1,乳汁,果汁,母牛分泌的液体
乳汁,2,乳汁,,动物产生的奶，同“牛奶”
果汁,3,,果汁,水果榨出的液汁，与“牛奶”相反
果实,1,瓜果,花朵,成熟的植物种子部分
瓜果,2,瓜果,,各类水果，同“果实”
花朵,3,,花朵,植物的繁殖器官，与“果实”相反
鸟巢,1,巢穴,地洞,鸟类筑造的住所
巢穴,2,巢穴,,动物居住的地方，同“鸟巢”
地洞,3,,地洞,地下的洞穴，与“鸟巢”相反
早晨,1,清晨,黄昏,一天的开始
清晨,2,清晨,,早上的时光，同“早晨”
黄昏,3,,黄昏,日落时分，与“早晨”相反
书籍,1,书本,空白,记录知识的册子
书本,2,书本,,用于阅读的材料，同“书籍”
空白,3,,空白,没有内容的纸张，与“书籍”相反
刀刃,1,刃锋,钝器,刀具的切割部分
刃锋,2,刃锋,,锋利的边缘，同“刀刃”
钝器,3,,钝器,不锋利的工具，与“刀刃”相反
尺寸,1,大小,短小,物体的长度或高度
大小,2,大小,,物体尺寸的概念，同“尺寸”
短小,3,,短小,小巧的尺寸，与“尺寸”相反
本质,1,根本,表面,事物的根本属性
根本,2,根本,,基础的本质，同“本质”
表面,3,,表面,外表，与“本质”相反
木头,1,树木,石头,植物的主干或枝干
树木,2,树木,,成长中的树，同“木头”
石头,3,,石头,硬质矿物，与“木头”相反
林地,1,森林,荒地,多树木的地方
森林,2,森林,,密集的树林，同“林地”
荒地,3,,荒地,未开垦的土地，与“林地”相反
土壤,1,泥土,硬土,地球表面适合植物生长的部分
泥土,2,泥土,,混有水的土壤，同“土壤”
硬土,3,,硬土,干燥坚硬的土，与“土壤”相反
力量,1,劲道,弱势,实现工作的能量或能力
劲道,2,劲道,,强壮的力量，同“力量”
弱势,3,,弱势,力量不足的状态，与“力量”相反
心思,1,思维,迷糊,人的思想或考虑
思维,2,思维,,思考的过程，同“心思”
迷糊,3,,迷糊,思维混乱不清，与“心思”相反
中间,1,内部,边缘,位于中央的位置
内部,2,内部,,内侧的部分，同“中间”
边缘,3,,边缘,外围部分，与“中间”相反
正直,1,公正,偏斜,正当且诚实的态度
公正,2,公正,,公平合理的行为，同“正直”
偏斜,3,,偏斜,不公正，与“正直”相反
存在,1,在场,缺席,某事物的实际状态
在场,2,在场,,出现在某处，同“存在”
缺席,3,,缺席,不在场，与“存在”相反
店铺,1,商店,家庭,经营商品的场所
商店,2,商店,,出售商品的地方，同“店铺”
家庭,3,,家庭,居住的地方，与“店铺”相反
我们,1,众人,个人,包括说话者在内的群体
众人,2,众人,,多人组成的群体，同“我们”
个人,3,,个人,单独的人，与“我们”相反
好处,1,利益,坏处,有利的事物或结果
利益,2,利益,,对自己有利的事情，同“好处”
坏处,3,,坏处,不利的事物或结果，与“好处”相反
长度,1,大小,短小,物体的延伸程度
大小,2,大小,,物体尺寸的概念，同“长度”
短小,3,,短小,小巧的尺寸，与“长度”相反
比较,1,对比,相似,对两个或多个事物进行分析
对比,2,对比,,比较差异，同“比较”
相似,3,,相似,彼此接近，与“比较”相反
巴望,1,渴望,冷淡,强烈期待
渴望,2,渴望,,强烈的愿望，同“巴望”
冷淡,3,,冷淡,缺乏热情，与“巴望”相反
把握,1,掌控,放手,牢牢抓住或控制
掌控,2,掌控,,控制局面，同“把握”
放手,3,,放手,松开手，与“把握”相反
下方,1,底部,上方,位置较低的地方
底部,2,底部,,最低点，同“下方”
上方,3,,上方,位置较高的地方，与“下方”相反
个体,1,单人,大众,单独的人或事物
单人,2,单人,,单独的人，同“个体”
大众,3,,大众,许多人，与“个体”相反
雨水,1,降水,干旱,从云中落下的水滴
降水,2,降水,,水汽凝结后降落的现象，同“雨水”
干旱,3,,干旱,缺乏水分的状态，与“雨水”相反
人们,1,大家,孤独,指一群人或多个个体
大家,2,大家,,所有人，同“人们”
孤独,3,,孤独,独自一人，与“人们”相反
问题,1,疑问,答案,需要解答的事情
疑问,2,疑问,,不确定的问题，同“问题”
答案,3,,答案,解决问题的方法，与“问题”相反
有的,1,存在,缺乏,表示拥有或存在
存在,2,存在,,实际上存在的事物，同“有的”
缺乏,3,,缺乏,没有或不足，与“有的”相反
半途,1,中间,终点,事情进行到一半
中间,2,中间,,位于中央的位置，同“半途”
终点,3,,终点,结束的地方，与“半途”相反
从来,1,始终,从未,自始至终
始终,2,始终,,一直如此，同“从来”
从未,3,,从未,从来没有，与“从来”相反
你们,1,大家,我们,指对方的一群人
大家,2,大家,,所有人，同“你们”
我们,3,,我们,包括说话者在内的群体，与“你们”相反
才能,1,能力,无能,特殊的能力或技能
能力,2,能力,,完成任务的能力，同“才能”
无能,3,,无能,没有能力，与“才能”相反
明天,1,日后,昨日,下一天
日后,2,日后,,将来的日子，同“明天”
昨日,3,,昨日,前一天，与“明天”相反
同意,1,认同,反对,接受某事或观点
认同,2,认同,,认为正确，同“同意”
反对,3,,反对,不赞同，与“同意”相反
学习,1,读书,忘记,获取知识的行为
读书,2,读书,,研究书籍，同“学习”
忘记,3,,忘记,丧失记忆，与“学习”相反
自己,1,本人,他人,个人自身
本人,2,本人,,指自己，同“自己”
他人,3,,他人,别人，与“自己”相反
衣服,1,服装,裸体,穿戴的物品
服装,2,服装,,穿着的衣服，同“衣服”
裸体,3,,裸体,没有穿衣服的状态，与“衣服”相反
白色,1,浅色,黑色,无色的颜色
浅色,2,浅色,,颜色淡，同“白色”
黑色,3,,黑色,最深的颜色，与“白色”相反
的确,1,确实,怀疑,确认某事的真实性
确实,2,确实,,确定无疑，同“的确”
怀疑,3,,怀疑,对事实表示疑问，与“的确”相反
又是,1,再次,首次,表示重复发生
再次,2,再次,,第二次或更多次，同“又是”
首次,3,,首次,第一次，与“又是”相反
和平,1,安宁,战争,没有冲突的状态
安宁,2,安宁,,安静和平，同“和平”
战争,3,,战争,武装冲突，与“和平”相反
竹子,1,竹林,树木,一种植物
竹林,2,竹林,,成片的竹子，同“竹子”
树木,3,,树木,其他类型的树，与“竹子”相反
牙齿,1,牙口,无牙,用于咀嚼食物的器官
牙口,2,牙口,,咬合的地方，同“牙齿”
无牙,3,,无牙,没有牙齿，与“牙齿”相反
马匹,1,骏马,步行,四肢动物，用于骑乘或拉车
骏马,2,骏马,,强壮的马，同“马匹”
步行,3,,步行,用脚行走，与“马匹”相反
用途,1,功能,无用,某物的使用目的
功能,2,功能,,物品的作用，同“用途”
无用,3,,无用,没有作用，与“用途”相反
几个,1,多少,唯一,表示数量不多
多少,2,多少,,数量，同“几个”
唯一,3,,唯一,只有一个，与“几个”相反
只要,1,但凡,除非,表示条件
但凡,2,但凡,,只要，同“只要”
除非,3,,除非,在特定条件下，与“只要”相反
石头,1,岩石,泥土,硬质矿物
岩石,2,岩石,,坚硬的石头，同“石头”
泥土,3,,泥土,软质土壤，与“石头”相反
多数,1,大量,少数,表示较多的数量
大量,2,大量,,许多，同“多数”
少数,3,,少数,数量较少，与“多数”相反
出口,1,通道,入口,离开或出去的地方
通道,2,通道,,通过的道路，同“出口”
入口,3,,入口,进入的地方，与“出口”相反
见面,1,遇见,分别,人们相互见面
遇见,2,遇见,,相遇，同“见面”
分别,3,,分别,离开，与“见面”相反
对比,1,比较,相似,比较两个事物的差异
比较,2,比较,,对比，同“对比”
相似,3,,相似,类似，与“对比”相反
妈妈,1,母亲,父亲,对母亲的称呼
母亲,2,母亲,,生育子女的女性，同“妈妈”
父亲,3,,父亲,生育子女的男性，与“妈妈”相反
全部,1,所有,部分,完整的整体
所有,2,所有,,整个，同“全部”
部分,3,,部分,不完整的一部分，与“全部”相反
回家,1,归来,出发,返回自己的住所
归来,2,归来,,回来，同“回家”
出发,3,,出发,开始旅程，与“回家”相反
工作,1,劳动,游玩,从事职业活动
劳动,2,劳动,,付出努力做事，同“工作”
游玩,3,,游玩,休闲娱乐，与“工作”相反
工厂,1,车间,农场,生产制造的场所
车间,2,车间,,工厂内的生产区域，同“工厂”
农场,3,,农场,种植农作物的地方，与“工厂”相反
春天,1,春季,冬天,一年四季之一，春季
春季,2,春季,,春天，同“春天”
冬天,3,,冬天,寒冷的季节，与“春天”相反
风景,1,景色,丑陋,自然景观的美丽
景色,2,景色,,风景，同“风景”
丑陋,3,,丑陋,不好看，与“风景”相反
雪花,1,白雪,雨水,冬天降雪时形成的白色片状物
白雪,2,白雪,,白色的雪，同“雪花”
雨水,3,,雨水,从云中落下的水滴，与“雪花”相反
花朵,1,花儿,枯枝,植物开花的部分
花儿,2,花儿,,花朵，同“花朵”
枯枝,3,,枯枝,干枯的树枝，与“花朵”相反
飞行,1,飞翔,行走,在空中移动
飞翔,2,飞翔,,飞行，同“飞行”
行走,3,,行走,用脚走路，与“飞行”相反
入口,1,门口,出口,进入某处的地方
门口,2,门口,,房屋等的入口，同“入口”
出口,3,,出口,离开的地方，与“入口”相反
姓氏,1,名字,匿名,家族的名称
名字,2,名字,,个人的名字，同“姓氏”
匿名,3,,匿名,没有名号，与“姓氏”相反
什么,1,哪个,无物,提问的内容或对象
哪个,2,哪个,,用于提问的选择，同“什么”
无物,3,,无物,没有东西，与“什么”相反
双手,1,两手,单手,两只手一起使用
两手,2,两手,,两只手，同“双手”
单手,3,,单手,一只手，与“双手”相反
国家,1,国土,外国,政治实体或民族国家
国土,2,国土,,国家的领土，同“国家”
外国,3,,外国,他国，与“国家”相反
国王,1,君主,臣民,统治国家的君主
君主,2,君主,,统治者，同“国王”
臣民,3,,臣民,国王的子民，与“国王”相反
方向,1,朝向,反向,指示前进的方向
朝向,2,朝向,,指向，同“方向”
反向,3,,反向,相反的方向，与“方向”相反
青年,1,年轻,老年,年纪较小的人
年轻,2,年轻,,年龄小，同“青年”
老年,3,,老年,年纪大的人，与“青年”相反
清洁,1,干净,肮脏,保持干净的状态
干净,2,干净,,没有污垢，同“清洁”
肮脏,3,,肮脏,不清洁，与“清洁”相反
气体,1,空气,固体,没有固定形状的物质状态
空气,2,空气,,我们呼吸的气体，同“气体”
固体,3,,固体,有固定形状的物质，与“气体”相反
